time,value
0,33.464999999999996
200,44.570000000000014
400,44.78999999999997
600,45.71499999999999
800,45.275
1000,42.07500000000002
1200,40.63500000000008
1400,41.89999999999999
1600,42.96000000000001
1800,40.905
2000,39.179999999999986
2200,37.274999999999984
2400,37.014999999999986
2600,36.869999999999976
2800,37.07499999999997
3000,36.67999999999998
3200,36.769999999999975
3400,37.134999999999955
3600,36.609999999999985
3800,36.63499999999996
4000,36.65999999999996
4200,36.55999999999996
4400,36.70499999999996
4600,36.57999999999998
4800,36.65999999999996
5000,36.639999999999965
5200,36.56499999999996
5400,36.72499999999996
5600,36.574999999999974
5800,36.70999999999998
