time,value,min,max
0,126.46666666666667,100.0,146.0
200,122.4931506849315,100.0,146.0
400,125.98461538461538,100.0,147.0
600,123.39682539682539,100.0,146.0
800,124.5625,100.0,146.0
1000,122.84722222222223,100.0,146.0
1200,124.79032258064517,100.0,146.0
1400,122.6056338028169,100.0,146.0
1600,121.62121212121212,100.0,146.0
1800,115.01515151515152,100.0,145.0
2000,116.91044776119404,100.0,145.0
2200,114.46376811594203,100.0,147.0
2400,114.5079365079365,100.0,142.0
2600,117.91304347826087,100.0,142.0
2800,116.84057971014492,100.0,145.0
3000,113.04545454545455,100.0,142.0
3200,112.83076923076923,100.0,145.0
3400,110.97014925373135,100.0,145.0
3600,110.80882352941177,100.0,145.0
3800,111.5909090909091,100.0,145.0
4000,110.8970588235294,100.0,146.0
4200,108.53030303030303,100.0,142.0
