time,value,min,max
0,97.20588235294117,35.0,219.0
200,94.61538461538461,35.0,262.0
400,60.81818181818182,35.0,97.0
600,65.5072463768116,35.0,168.0
800,64.11111111111111,35.0,98.0
1000,67.32857142857142,35.0,157.0
1200,65.06451612903226,35.0,97.0
1400,66.05882352941177,35.0,97.0
1600,65.41428571428571,35.0,97.0
1800,65.82539682539682,35.0,157.0
2000,64.61194029850746,35.0,97.0
