time,value
0,43.43500000000002
200,39.609999999999985
400,23.56499999999998
600,24.750000000000007
800,24.760000000000012
1000,23.274999999999984
1200,22.814999999999966
1400,23.064999999999973
1600,24.09499999999993
1800,22.844999999999953
2000,22.70999999999997
2200,23.294999999999984
2400,22.204999999999952
2600,22.43499999999996
2800,23.299999999999972
