time,value,min,max
0,124.2258064516129,100.0,146.0
200,117.49253731343283,100.0,146.0
400,115.44927536231884,100.0,146.0
600,120.53030303030303,100.0,147.0
800,115.01492537313433,100.0,141.0
1000,113.42424242424242,100.0,146.0
1200,110.23880597014926,100.0,146.0
1400,110.25,100.0,145.0
1600,108.96969696969697,100.0,142.0
1800,110.92537313432835,100.0,145.0
2000,109.29411764705883,100.0,142.0
2200,108.0,100.0,130.0
2400,108.50746268656717,100.0,130.0
2600,107.53731343283582,100.0,130.0
2800,108.35820895522389,100.0,140.0
3000,113.68041237113403,100.0,141.0
3200,116.86868686868686,100.0,140.0
3400,117.6923076923077,100.0,505.0
3600,108.3,100.0,140.0
