time,value,min,max
0,124.2258064516129,100.0,146.0
200,117.6,100.0,146.0
400,117.36923076923077,100.0,146.0
600,113.77611940298507,100.0,146.0
800,116.17910447761194,100.0,146.0
1000,114.78787878787878,100.0,145.0
1200,111.38805970149254,100.0,146.0
1400,109.37142857142857,100.0,142.0
1600,107.6923076923077,100.0,140.0
1800,109.28787878787878,100.0,142.0
2000,108.11764705882354,100.0,141.0
2200,107.34848484848484,100.0,130.0
2400,107.53731343283582,100.0,130.0
2600,106.66666666666667,100.0,130.0
2800,107.38805970149254,100.0,140.0
3000,108.51546391752578,100.0,140.0
3200,116.11111111111111,100.0,515.0
3400,115.24038461538461,100.0,505.0
3600,109.35,100.0,145.0
