time,value,min,max
0,126.46666666666667,100.0,146.0
200,122.4931506849315,100.0,146.0
400,125.98461538461538,100.0,147.0
600,123.39682539682539,100.0,146.0
800,124.18461538461538,100.0,146.0
1000,124.45070422535211,100.0,146.0
1200,123.51612903225806,100.0,146.0
1400,122.86153846153846,100.0,145.0
1600,122.2394366197183,100.0,147.0
1800,117.95454545454545,100.0,145.0
2000,117.42647058823529,100.0,146.0
2200,112.72058823529412,100.0,142.0
2400,114.01492537313433,100.0,141.0
2600,112.70588235294117,100.0,146.0
2800,114.58208955223881,100.0,145.0
3000,112.53125,100.0,146.0
3200,114.65346534653466,100.0,145.0
3400,117.87628865979381,100.0,505.0
3600,114.4368932038835,100.0,145.0
